"f",":0",":1",":2"
-1.0,1.0,0.02,0
-1.0,0.980173175549073,0.01861946385618734,0
-1.0,0.9854964119309602,0.03334058703383862,0
-1.0,1.0,0.03923076923073977,0
-1.0,0.9684680861324165,0.0363335673810243,0
-1.0,0.9833456653118797,0.04884615384610395,0
-1.0,1.0,0.05846153846146818,0
-1.0,0.960673126885708,0.01475190694656054,0
-1.0,0.9468129713530034,0.03057837771431496,0
-1.0,0.9535704892242106,0.05147129942191346,0
-1.0,0.9701509165843486,0.0556942838445802,0
-1.0,0.9832128412575123,0.0666785140425516,0
-1.0,1.0,0.07769230769218124,0
-1.0,0.9416183144793386,0.009063564699592675,0
-1.0,0.9339409911999688,0.04690358220899162,0
-1.0,0.9421707506841616,0.06887552479904033,0
-1.0,0.9640498088202585,0.07307608652396556,0
-1.0,0.9826768107408546,0.08526781488333947,0
-1.0,1.0,0.09692307692289431,0
-1.0,0.9244157534459991,0.0268812995599261,0
-1.0,0.9228983726051743,0.002343898994261195,0
-1.0,0.9223277796849068,0.06750745200985371,0
-1.0,0.9134744208430143,0.05054436941580079,0
-1.0,0.9034870902912203,0.03300628049301282,0
-1.0,0.9075449004555142,0.0149873366825889,0
-1.0,0.9042709183345222,-0.004630682195484626,0
-1.0,0.9310186380406094,0.08649155980058855,0
-1.0,0.9503532472193248,0.08818263475656175,0
-1.0,0.9672197162330113,0.09107829909332003,0
-1.0,0.9799756917542389,0.1063419960177007,0
-1.0,1.0,0.1161538461536074,0
-1.0,0.9022948842234373,0.06712804089963598,0
-1.0,0.9110669931182498,0.08510163493506516,0
-1.0,0.919839102760889,0.1030752260476359,0
-1.0,0.9397907468990684,0.1044651539781008,0
-1.0,0.9597423909853122,0.1058550821115411,0
-1.0,0.9661342624821293,0.1222240892456539,0
-1.0,0.9840566618383658,0.1268917637135486,0
-1.0,1.0,0.1353846153843205,0
-1.0,0.8935091082246573,0.04935064150283412,0
-1.0,0.8844836605230715,0.03334226629681115,0
-1.0,0.8941392772357295,0.02117864293021044,0
-1.0,0.8898219267515303,0.00700820793716446,0
-1.0,0.8854628997942693,-0.01109690835961785,0
-1.0,0.8911153434908146,0.08371172845919135,0
-1.0,0.8823432401735423,0.06573811262411121,0
-1.0,0.8735688544822964,0.04779721357470033,0
-1.0,0.8646671993925827,0.0314046329001675,0
-1.0,0.8763266394556382,0.01793162442925213,0
-1.0,0.8712234137841095,0.001375609528205778,0
-1.0,0.8662634367808579,-0.01626922326358493,0
-1.0,0.8998874589291105,0.1016852969196112,0
-1.0,0.9086595555702399,0.119658939436453,0
-1.0,0.928611211625408,0.121048820201468,0
-1.0,0.948166149456296,0.1221713172720811,0
-1.0,0.956024948997008,0.1387144896239687,0
-1.0,0.97150502010689,0.1365131945573553,0
-1.0,0.9843801163202168,0.1454992730556504,0
-1.0,1.0,0.1546153846150923,0
-1.0,0.8711636018389817,0.08232298806170658,0
-1.0,0.8623912175508122,0.06435363002173086,0
-1.0,0.8536190457422902,0.04638094288807424,0
-1.0,0.8447839225496595,0.02931188655457012,0
-1.0,0.8546613376520229,0.01262688014835754,0
-1.0,0.8550129735023729,-0.004809225497972529,0
-1.0,0.8466296831498837,-0.01937512587092733,0
-1.0,0.8799357745277377,0.1002955263566424,0
-1.0,0.8887078753757678,0.1182691533553347,0
-1.0,0.8974800083854407,0.1362426536427684,0
