"f:0","f:1",":0",":1",":2"
0.9999999999999999,0.24999999999999997,1.0,0,0
0.980166823039554,0.25,0.9801668230395538,0,0
0.9900834115197769,0.24999999999999992,0.990083411519777,0,0
0.9606607333493592,0.25000000000000006,0.9606607333493586,0,0
0.9704137781944557,0.25,0.9704137781944562,0,0
0.941600080113656,0.25000000000000006,0.9416000801136555,0,0
0.9511304067315068,0.2499999999999999,0.9511304067315071,0,0
0.9228743519526511,0.25000000000000006,0.922874351952651,0,0
0.9322372160331533,0.25,0.9322372160331532,0,0
0.9042408170745972,0.25000000000000006,0.9042408170745975,0,0
0.9135575845136242,0.25,0.9135575845136242,0,0
0.8854261880583082,0.25,0.8854261880583083,0,0
0.894833502566453,0.24999999999999994,0.8948335025664529,0,0
0.8662195908051057,0.24999999999999994,0.8662195908051051,0,0
0.8758228894317066,0.25,0.8758228894317067,0,0
0.8465786060015871,0.25000000000000006,0.8465786060015866,0,0
0.8563990984033458,0.25000000000000006,0.8563990984033458,0,0
0.8267034971897802,0.24999999999999994,0.8267034971897799,0,0
0.8366410515956829,0.24999999999999997,0.8366410515956832,0,0
0.8069505794200265,0.24999999999999992,0.8069505794200263,0,0
0.8168270383049029,0.25,0.8168270383049031,0,0
0.7875924927939572,0.24999999999999992,0.7875924927939573,0,0
0.797271536106992,0.25,0.7972715361069918,0,0
0.7686646258365393,0.25,0.7686646258365393,0,0
0.778128559315248,0.25,0.7781285593152483,0,0
0.750000000624886,0.2500000000000001,0.7500000006248856,0,0
0.7593323132307125,0.24999999999999992,0.7593323132307124,0,0
0.7313353754428179,0.2500000000000001,0.7313353754428176,0,0
0.7406676880338514,0.24999999999999997,0.7406676880338516,0,0
0.7124075085155394,0.2499999999999999,0.7124075085155395,0,0
0.7218714419791784,0.24999999999999997,0.7218714419791785,0,0
0.6930494219834116,0.25,0.6930494219834117,0,0
0.7027284652494756,0.25000000000000006,0.7027284652494756,0,0
0.6732965042312523,0.24999999999999994,0.6732965042312522,0,0
0.683172963107332,0.25,0.683172963107332,0,0
0.6534213954170095,0.24999999999999994,0.6534213954170096,0,0
0.6633589498241308,0.24999999999999992,0.6633589498241309,0,0
0.6337804105772695,0.24999999999999997,0.6337804105772695,0,0
0.6436009029971396,0.24999999999999997,0.6436009029971396,0,0
0.6145738133118694,0.2499999999999999,0.6145738133118693,0,0
0.6241771119445694,0.25,0.6241771119445694,0,0
0.5957591842547643,0.24999999999999992,0.5957591842547643,0,0
0.6051664987833169,0.2500000000000001,0.6051664987833167,0,0
0.5771256493879257,0.25,0.5771256493879255,0,0
0.586442416821345,0.25,0.5864424168213449,0,0
0.5583999212262512,0.25000000000000006,0.5583999212262512,0,0
0.5677627853070881,0.2499999999999999,0.5677627853070883,0,0
0.5393392680234399,0.25000000000000006,0.5393392680234398,0,0
0.5488695946248453,0.24999999999999992,0.5488695946248454,0,0
0.5198331783680624,0.25,0.5198331783680623,0,0
0.5295862231957511,0.24999999999999992,0.5295862231957511,0,0
0.5000000014438635,0.25000000000000006,0.5000000014438634,0,0
0.5099165899059627,0.25,0.5099165899059628,0,0
0.4801668244029418,0.2500000000000001,0.4801668244029419,0,0
0.4900834129234027,0.25,0.49008341292340263,0,0
0.46066073456798645,0.25,0.4606607345679865,0,0
0.47041377948546426,0.25,0.4704137794854642,0,0
0.44160008119747646,0.24999999999999994,0.4416000811974764,0,0
0.4511304078827315,0.25,0.45113040788273145,0,0
0.4228743529119793,0.24999999999999997,0.4228743529119792,0,0
0.43223721705472773,0.25000000000000006,0.43223721705472784,0,0
0.4042408179457538,0.25000000000000006,0.4042408179457537,0,0
0.4135575854288665,0.24999999999999997,0.41355758542886645,0,0
0.3854261888196498,0.25,0.3854261888196495,0,0
0.39483350338270157,0.25,0.3948335033827016,0,0
0.3662195914813678,0.25,0.3662195914813676,0,0
