"f:0","f:1",":0",":1",":2"
0.0,-7.211782438977456e-05,1.0,0.01,0
0.0,-6.432343909695799e-05,1.0,0.02999999999996647,0
2.4634778561380395e-07,-6.656277094708157e-05,0.9855624261317912,0.02425398736168699,0
3.9760854743602434e-07,-7.211747055618068e-05,0.9803246413062863,0.00969589644415162,0
2.3135491006642328e-07,-6.0169364262926584e-05,0.9814670510802648,0.04098251033449669,0
4.663324962907633e-07,-6.558787726558746e-05,0.9697227256284061,0.02627340988247221,0
7.631143386556254e-07,-7.211650896232077e-05,0.9606670989827967,0.008803143888678044,0
0.0,-5.675854775621127e-05,1.0,0.04999999999991166,0
4.7662141199926973e-07,-5.971892962752555e-05,0.959513314306891,0.04135265249590669,0
3.023648364652194e-07,-5.473693712881094e-05,0.9682646015704333,0.05503267752119925,0
1.435044322544431e-07,-5.269406942955715e-05,0.9832147880431658,0.06092716007471702,0
0.0,-4.931932600534765e-05,1.0,0.06999999999985494,0
7.36637864121162e-07,-6.559698455570491e-05,0.9495116291653989,0.025181021923076,0
1.0686393662158792e-06,-7.211538288128374e-05,0.9410407633743468,0.007378589574544767,0
4.226645859008206e-07,-5.272030363668252e-05,0.9486383772261309,0.05958935069148231,0
2.3476769055119059e-07,-4.883144905883879e-05,0.9662022884459477,0.0709055055942404,0
1.0019573111089065e-07,-4.5601793343997226e-05,0.9827806562771833,0.08013913078274972,0
0.0,-4.1986285803907166e-05,1.0,0.08999999999979282,0
6.647803166892519e-07,-5.918666290033623e-05,0.9379569013355185,0.04150917202949526,0
9.523466450916225e-07,-6.567864244041046e-05,0.9295441263093243,0.02346759874857697,0
1.293486810412969e-06,-7.211457861529615e-05,0.9214513895793973,0.005511362651125917,0
2.7462190841996867e-07,-4.5282906082749335e-05,0.9488846337118987,0.07983708987271791,0
1.5260117030667321e-07,-4.1867846128440124e-05,0.9654306738468754,0.08990762462257629,0
5.883925627313769e-08,-3.837008765409854e-05,0.9826794919243327,0.09999999999975993,0
0.0,-3.4753889463342875e-05,1.0,0.1099999999997388,0
5.778288217583572e-07,-5.3437707127662296e-05,0.9271146541522377,0.05629784356331011,0
8.184926203128218e-07,-5.9512598173721576e-05,0.9179677571067404,0.03909917984157713,0
1.1034367605106188e-06,-6.578545678601424e-05,0.9097722974140161,0.02134907543763067,0
1.426257894303936e-06,-7.211449522388167e-05,0.9018959135169756,0.003315858397354207,0
4.0168882731526055e-07,-4.8166947259765635e-05,0.9349846574867744,0.07116705440682151,0
2.7470723406937573e-07,-4.154971128147139e-05,0.9302319981334692,0.08903813831514153,0
1.622382252683703e-07,-3.81997682613796e-05,0.9486631117294166,0.09932037120048852,0
7.963997609203276e-08,-3.480714510470219e-05,0.9657891238377837,0.1094457477367876,0
2.80232678571856e-08,-3.118010970180343e-05,0.9826794919242817,0.1199999999997886,0
0.0,-2.7606329908443927e-05,1.0,0.1299999999997857,0
6.639687535280175e-07,-5.344218120591199e-05,0.9081536645606884,0.05481861753783147,0
4.576228160359857e-07,-4.760977933822064e-05,0.9179698850141979,0.07154840141034365,0
9.134523889569985e-07,-5.9682345249771794e-05,0.8980874284204946,0.03685089144130915,0
1.1800244164622369e-06,-6.586059524482279e-05,0.8902132835801773,0.0191025757501317,0
1.4648552256159677e-06,-7.211532511201334e-05,0.8823633665422647,0.0009239880764527964,0
1.463711836648464e-07,-3.5142280171662614e-05,0.9340996303883795,0.1069928088355106,0
6.131898275400852e-08,-3.056823052271185e-05,0.9483887683969389,0.120537907693271,0
2.9335237572335713e-08,-2.8927457602074542e-05,0.9671357348299625,0.1259301699174232,0
-6.766276247634775e-10,-2.4133995738625835e-05,0.9797723159322128,0.1398476440585444,0
0.0,-2.0554218381225765e-05,1.0,0.1499999999998373,0
3.308655270029059e-07,-4.166083527483287e-05,0.9090984803341559,0.08727068866522708,0
1.8176085440080806e-07,-3.562208721642491e-05,0.9180059221310184,0.1046098815548604,0
5.052159049065607e-07,-4.736542464902701e-05,0.8982358554178625,0.07069806597373024,0
7.180845796986614e-07,-5.35725935653771e-05,0.8881579472188716,0.05273918966277993,0
9.431810972854637e-07,-5.9666119099258126e-05,0.8787576167995681,0.03502130259192295,0
1.1846261616740023e-06,-6.596899422247152e-05,0.8710170745241391,0.01669459866650051,0
1.4127850965267916e-06,-7.211702125920342e-05,0.8628375433943603,-0.001522435964121904,0
6.78032139868563e-08,-2.9579977780127328e-05,0.9275336330042021,0.1220824388517325,0
7.850380419488278e-08,-2.937236947304473e-05,0.9083399004853293,0.1212835092493181,0
2.0161511187013328e-07,-3.540225407509327e-05,0.8987932975825862,0.1037971004005305,0
3.518520576637324e-07,-4.132297801603948e-05,0.8891107540851273,0.08664177131214523,0
5.121246818698367e-07,-4.682776903945744e-05,0.8793997947861161,0.0706152274677918,0
7.137748962612949e-07,-5.326917965343489e-05,0.8690898915509748,0.05186119343804049,0
9.102617734303101e-07,-5.944276447487839e-05,0.8595105110869432,0.03375287363383674,0
1.099570130402426e-06,-6.552483884541565e-05,0.8517828814087394,0.0158579542190018,0
1.2820855333884232e-06,-7.211932844136313e-05,0.8433007189890364,-0.003878933744719663,0
-1.358233768820721e-09,-2.4025557790633585e-05,0.9581413813995925,0.1394067324764621,0
-2.3211098810210334e-08,-1.9185517937291187e-05,0.9670157945609767,0.1535077121847718,0
-2.063223866951416e-08,-1.7075746333691878e-05,0.982679491924277,0.1599999999998427,0
0.0,-1.3597274247810598e-05,1.0,0.1699999999998933,0
-3.89902951425035e-09,-2.3733717240026084e-05,0.9379597432053215,0.1391467949612842,0
-6.916029064479751e-09,-2.3376107124021772e-05,0.9179709895379002,0.138778293947397,0
-1.0260945973356449e-08,-2.3017429338780843e-05,0.8983299327347888,0.1382014112820868,0
