":0",":1",":2"
1.0, 0, 0
0.9803246413062863, 0, 0
0.9606670989827967, 0, 0
0.9410407633743468, 0, 0
0.9214513895793973, 0, 0
0.9018959135169756, 0, 0
0.8823633665422647, 0, 0
0.8628375433943603, 0, 0
0.8433007189890364, 0, 0
0.8237376587166956, 0, 0
0.8041391464381125, 0, 0
0.7845042763991178, 0, 0
0.7648408768418655, 0, 0
0.745163787426362, 0, 0
0.7254912572704788, 0, 0
0.7058403964240858, 0, 0
0.6862229473739666, 0, 0
0.6666425234635949, 0, 0
0.64709395615239, 0, 0
0.6275646897495895, 0, 0
0.6080377765477931, 0, 0
0.58849573739007, 0, 0
0.5689245249810584, 0, 0
0.5493168161945741, 0, 0
0.5296738938487393, 0, 0
0.5100055513468141, 0, 0
0.4903278558367778, 0, 0
0.4706592081219544, 0, 0
0.4510157513635538, 0, 0
0.431407409631638, 0, 0
0.4118356169979099, 0, 0
0.3922931854210254, 0, 0
0.3727661570868984, 0, 0
0.3532370787704859, 0, 0
0.3336889602487713, 0, 0
0.3141091429815859, 0, 0
0.2944923162764347, 0, 0
0.274841943846978, 0, 0
0.2551696480437315, 0, 0
0.2354924804516552, 0, 0
0.2158287097175866, 0, 0
0.1961932675204683, 0, 0
0.1765941213244886, 0, 0
0.1570305158111068, 0, 0
0.1374933610994077, 0, 0
0.1179674975760075, 0, 0
0.09843520926328535, 0, 0
0.07888023227649335, 0, 0
0.05929148302489044, 0, 0
0.03966575021666655, 0, 0
0.02000864306284591, 0, 0
0.0003334444814938313, 0, 0
