":0",":1",":2"
0.7, 0.3, 0
0.6000000000004161, 0.3, 0
0.6369042311536807, 0.3573815892823968, 0
0.7, 0.3833333333332142, 0
0.5598100211655115, 0.370382812897524, 0
0.5000000000008278, 0.3, 0
0.6281257379765495, 0.4239069963858422, 0
0.7, 0.4666666666669593, 0
0.5438301578609718, 0.4669596196419721, 0
0.4500000000006119, 0.3881239519551027, 0
0.4000000000004184, 0.3, 0
0.6343911791676264, 0.4915066565389548, 0
0.7, 0.55, 0
0.4500000000008411, 0.4815935822716771, 0
0.3561698421403932, 0.46695961964148, 0
0.3401899788352881, 0.3703828128975412, 0
0.3000000000002797, 0.3, 0
0.5000000000012204, 0.55, 0
0.6000000000006114, 0.55, 0
0.4000000000009971, 0.55, 0
0.3000000000004986, 0.55, 0
0.2656088208328785, 0.4915066565390347, 0
0.2718742620235007, 0.4239069963862245, 0
0.2630957688465136, 0.35738158928261, 0
0.2, 0.3, 0
0.2, 0.55, 0
0.2, 0.4666666666674687, 0
0.2, 0.3833333333341389, 0
