"f:0","f:1","f:2",":0",":1",":2"
-0.1996718109726574,-1.1557014444854705,0,0.857,0,0
-0.19925595350974112,-1.1532197254817604,0,0.856,0,0
-0.1987321859028811,-1.1507145965769334,0,0.855,0,0
-0.19810067758682315,-1.1481909074923118,0,0.854,0,0
-0.19736193768442145,-1.145653408576324,0,0.853,0,0
-0.19651676800954887,-1.1431067437042821,0,0.852,0,0
-0.19556632080129777,-1.14055538611381,0,0.851,0,0
-0.1945119852803462,-1.1380036703677832,0,0.85,0,0
-0.19335547139434717,-1.1354557042936129,0,0.849,0,0
-0.1920986979519459,-1.1329154169803202,0,0.848,0,0
-0.1907438385763518,-1.1303864890447264,0,0.847,0,0
-0.18929326246685974,-1.127872367785097,0,0.846,0,0
-0.18774951876849133,-1.12537625986092,0,0.845,0,0
-0.18611533168026584,-1.1229010840398557,0,0.844,0,0
-0.18439354335444524,-1.1204495358015054,0,0.843,0,0
-0.18258713291492434,-1.1180239908946603,0,0.842,0,0
-0.18069915394635738,-1.1156266119026856,0,0.841,0,0
-0.17873275441713554,-1.113259207034604,0,0.84,0,0
-0.17669111363092693,-1.1109234314660117,0,0.839,0,0
-0.1745774626675488,-1.1086205519276242,0,0.838,0,0
-0.1723950424065569,-1.1063516894988796,0,0.837,0,0
-0.17014709542645878,-1.1041176229102618,0,0.836,0,0
-0.16783685421628158,-1.1019189432485659,0,0.835,0,0
-0.16546752390464836,-1.0997559935913117,0,0.834,0,0
-0.16304227147718997,-1.0976288844355326,0,0.833,0,0
-0.16056421683556754,-1.0955375172713793,0,0.832,0,0
-0.15803642319725908,-1.0934815885775357,0,0.831,0,0
-0.15546188999447752,-1.0914606017889488,0,0.83,0,0
-0.15284354749818096,-1.089473879613095,0,0.829,0,0
-0.15018425248494627,-1.0875205751111092,0,0.828,0,0
-0.14748678509078894,-1.085599682738871,0,0.827,0,0
-0.14475385122633866,-1.0837100561362523,0,0.826,0,0
-0.1419880580251246,-1.0818503823545353,0,0.825,0,0
-0.13919196000573553,-1.0800192636717143,0,0.824,0,0
-0.1363680156800231,-1.0782151602460217,0,0.823,0,0
-0.13351860754487,-1.0764364263158124,0,0.822,0,0
-0.13064606043492444,-1.0746813407592837,0,0.821,0,0
-0.12775260134028865,-1.0729480599806462,0,0.82,0,0
-0.12484042524318106,-1.0712347024772528,0,0.819,0,0
-0.12191163363661017,-1.0695392790247082,0,0.818,0,0
-0.1189682977253419,-1.0678597668948757,0,0.817,0,0
-0.11601242470537021,-1.0661940737319735,0,0.816,0,0
-0.11304598167736446,-1.0645400643395928,0,0.815,0,0
-0.11007090435780997,-1.062895570232061,0,0.814,0,0
-0.10708908801992278,-1.0612583795756865,0,0.813,0,0
-0.10410241613916771,-1.0596262676185928,0,0.812,0,0
-0.10111274809510595,-1.0579969809441403,0,0.811,0,0
-0.09812193905533506,-1.0563682600883137,0,0.81,0,0
-0.09513184343839098,-1.0547378384808528,0,0.809,0,0
-0.09214432119298532,-1.053103450332667,0,0.808,0,0
-0.08916124640728451,-1.0514628377415243,0,0.807,0,0
-0.0861845177006697,-1.049813758827032,0,0.806,0,0
-0.08321605790856879,-1.0481539896260652,0,0.805,0,0
-0.08025783415904031,-1.0464813405764608,0,0.804,0,0
-0.07731184600781771,-1.0447936488757852,0,0.803,0,0
-0.07438015786049956,-1.0430888075337064,0,0.802,0,0
-0.07146487266683743,-1.041364744444658,0,0.801,0,0
-0.0685681778260866,-1.0396194675398989,0,0.8,0,0
-0.0656923041889631,-1.0378510280335633,0,0.799,0,0
-0.06283958382162935,-1.0360575836335424,0,0.798,0,0
-0.06001239679479542,-1.0342373452990306,0,0.797,0,0
-0.05721323638634057,-1.0323886580481654,0,0.796,0,0
-0.05444464867932175,-1.0305099331656489,0,0.795,0,0
-0.051709298579408536,-1.0285997433296048,0,0.794,0,0
-0.0490099087533179,-1.026656744860789,0,0.793,0,0
-0.046349319053469396,-1.0246797811463964,0,0.792,0,0
-0.043730433264858926,-1.0226678061905528,0,0.791,0,0
-0.041156256703877236,-1.0206199690428093,0,0.79,0,0
-0.038629867286301356,-1.018535574730636,0,0.789,0,0
-0.03615442792742063,-1.01641413474963,0,0.788,0,0
-0.03373316948713323,-1.0142553564346897,0,0.787,0,0
-0.03136938496187647,-1.0120591513804813,0,0.786,0,0
-0.029066426684784097,-1.0098256801751666,0,0.785,0,0
-0.02682768573989258,-1.0075553183110928,0,0.784,0,0
-0.024656587201067226,-1.0052487022834966,0,0.783,0,0
-0.022556571475411458,-1.0029067345871006,0,0.782,0,0
-0.020531080988307693,-1.0005305622997416,0,0.781,0,0
-0.01858353999104534,-0.9981216385273189,0,0.78,0,0
-0.01671733743612991,-0.9956816804662527,0,0.779,0,0
-0.014935807663948975,-0.9932126938997212,0,0.778,0,0
-0.01324220412456989,-0.9907169839124355,0,0.777,0,0
-0.011639679858922225,-0.9881971427461125,0,0.776,0,0
-0.010131264761209957,-0.9856560496511697,0,0.775,0,0
-0.008719837546025788,-0.9830968737651962,0,0.774,0,0
-0.007408099685048408,-0.9805230664725808,0,0.773,0,0
-0.006198553780834115,-0.9779383463982684,0,0.772,0,0
-0.005093480012376195,-0.9753466879854457,0,0.771,0,0
-0.004094906570461965,-0.9727523115615581,0,0.77,0,0
-0.003204583072985656,-0.9701596652898125,0,0.769,0,0
-0.002423970690805577,-0.9675733957010336,0,0.768,0,0
-0.001754209322349598,-0.9649983327138761,0,0.767,0,0
-0.0011961043194472776,-0.9624394592344735,0,0.766,0,0
-0.0007501092508906959,-0.9599018829837423,0,0.765,0,0
-0.0004163124161608023,-0.957390805425332,0,0.764,0,0
-0.00019442638414390867,-0.9549114888211259,0,0.763,0,0
-0.00008378084659099727,-0.9524692217724798,0,0.762,0,0
-0.00008331919436399549,-0.9500692836750811,0,0.761,0,0
-0.00019159869191820444,-0.9477169084670902,0,0.76,0,0
-0.0004067946799737321,-0.9454172482957741,0,0.759,0,0
-0.0007267086859537031,-0.9431753374358159,0,0.758,0,0
-0.0011487799033029766,-0.9409960571406965,0,0.757,0,0
-0.0016701007665514966,-0.9388841013961117,0,0.756,0,0
-0.0022874378928415817,-0.9368439468206001,0,0.755,0,0
-0.002997246956585653,-0.9348798148519576,0,0.754,0,0
-0.003795708467619008,-0.9329956527330011,0,0.753,0,0
-0.0046787576432045785,-0.9311951187403903,0,0.752,0,0
-0.005642089786503601,-0.9294815188249742,0,0.751,0,0
-0.006681229731318572,-0.9278578472013672,0,0.75,0,0
-0.007791537821289496,-0.9263267343957082,0,0.749,0,0
-0.008968250815753587,-0.9248904260087815,0,0.748,0,0
-0.010206525909437714,-0.9235508374245778,0,0.747,0,0
-0.011501460968983301,-0.9223094567912696,0,0.746,0,0
-0.012848140668395902,-0.9211674381016495,0,0.745,0,0
-0.014241661827276708,-0.9201255467906247,0,0.744,0,0
-0.015677174064804178,-0.9191841722803052,0,0.743,0,0
-0.017149894105020436,-0.9183433850942374,0,0.742,0,0
-0.018655159402862775,-0.9176028674006679,0,0.741,0,0
