"f:0","f:1","f:2",":0",":1",":2"
1.6,0,0,1,0,0
1.599839615878428,0,0,0.999,0,0
1.5996784630276517,0,0,0.998,0,0
1.5995165407190894,0,0,0.997,0,0
1.5993538482248457,0,0,0.996,0,0
1.5991903848177114,0,0,0.995,0,0
1.5990261497711724,0,0,0.994,0,0
1.5988611423594112,0,0,0.993,0,0
1.5986953618573116,0,0,0.992,0,0
1.5985288075404636,0,0,0.991,0,0
1.598361478685167,0,0,0.99,0,0
1.5981933745684365,0,0,0.989,0,0
1.5980244944680058,0,0,0.988,0,0
1.5978548376623314,0,0,0.987,0,0
1.5976844034305968,0,0,0.986,0,0
1.5975131910527187,0,0,0.985,0,0
1.5973411998093496,0,0,0.984,0,0
1.5971684289818817,0,0,0.983,0,0
1.596994877852453,0,0,0.982,0,0
1.5968205457039502,0,0,0.981,0,0
1.5966454318200145,0,0,0.98,0,0
1.5964695354850449,0,0,0.979,0,0
1.5962928559842018,0,0,0.978,0,0
1.596115392603414,0,0,0.977,0,0
1.5959371446293809,0,0,0.976,0,0
1.5957581113495771,0,0,0.975,0,0
1.595578292052258,0,0,0.974,0,0
1.5953976860264631,0,0,0.973,0,0
1.5952162925620208,0,0,0.972,0,0
1.5950341109495534,0,0,0.971,0,0
1.5948511404804793,0,0,0.97,0,0
1.594667380447021,0,0,0.969,0,0
1.594482830142207,0,0,0.968,0,0
1.5942974888598769,0,0,0.967,0,0
1.594111355894685,0,0,0.966,0,0
1.5939244305421068,0,0,0.965,0,0
1.5937367120984416,0,0,0.964,0,0
1.5935481998608185,0,0,0.963,0,0
1.5933588931271985,0,0,0.962,0,0
1.5931687911963817,0,0,0.961,0,0
1.5929778933680105,0,0,0.96,0,0
1.592786198942574,0,0,0.959,0,0
1.592593707221412,0,0,0.958,0,0
1.5924004175067217,0,0,0.957,0,0
1.5922063291015596,0,0,0.956,0,0
1.5920114413098467,0,0,0.955,0,0
1.5918157534363748,0,0,0.954,0,0
1.591619264786809,0,0,0.953,0,0
1.591421974667693,0,0,0.952,0,0
1.5912238823864524,0,0,0.951,0,0
1.5910249872514024,0,0,0.95,0,0
1.5908252885717487,0,0,0.949,0,0
1.5906247856575941,0,0,0.948,0,0
1.5904234778199435,0,0,0.947,0,0
1.5902213643707062,0,0,0.946,0,0
1.5900184446227026,0,0,0.945,0,0
1.5898147178896684,0,0,0.944,0,0
1.5896101834862575,0,0,0.943,0,0
1.589404840728049,0,0,0.942,0,0
1.5891986889315506,0,0,0.941,0,0
1.5889917274142027,0,0,0.94,0,0
