"f_42-3:0","f_42-3:1","f_42-3:2",":0",":1",":2"
-0.09475,0.014282,0,-1.9777,0.29808,0
-0.095345,0.0095316,0,-1.9901,0.19914,0
-0.095701,0.0047847,0,-1.9975,0.099692,0
-0.09582,4.7212e-06,0,-2,-5.8974e-09,0
-0.095701,-0.0047769,0,-1.9975,-0.099692,0
-0.095344,-0.0095399,0,-1.9901,-0.19914,0
-0.09475,-0.01428,0,-1.9777,-0.29808,0
-0.09392,-0.018987,0,-1.9603,-0.39629,0
-0.092856,-0.023652,0,-1.9382,-0.49351,0
-0.091562,-0.028248,0,-1.9111,-0.58951,0
-0.090045,-0.032762,0,-1.8794,-0.68404,0
-0.088295,-0.037223,0,-1.843,-0.77687,0
-0.086333,-0.041572,0,-1.8019,-0.86777,0
-0.084149,-0.045832,0,-1.7564,-0.95651,0
-0.08176,-0.049969,0,-1.7066,-1.0429,0
-0.079172,-0.053975,0,-1.6525,-1.1266,0
-0.076384,-0.057854,0,-1.5943,-1.2076,0
-0.073402,-0.061592,0,-1.5321,-1.2856,0
-0.070242,-0.065174,0,-1.4661,-1.3603,0
-0.06691,-0.06859,0,-1.3965,-1.4317,0
-0.063403,-0.071844,0,-1.3234,-1.4996,0
-0.059737,-0.07492,0,-1.247,-1.5637,0
-0.055938,-0.077798,0,-1.1675,-1.6239,0
-0.051989,-0.08049,0,-1.0851,-1.6801,0
-0.043723,-0.085263,0,-0.91242,-1.7797,0
-0.039398,-0.087346,0,-0.82257,-1.823,0
-0.035001,-0.089199,0,-0.73068,-1.8617,0
-0.03053,-0.090827,0,-0.63697,-1.8959,0
-0.025946,-0.092241,0,-0.54168,-1.9252,0
-0.021316,-0.093419,0,-0.44504,-1.9499,0
-0.016649,-0.094363,0,-0.3473,-1.9696,0
-0.011908,-0.095078,0,-0.24869,-1.9845,0
-0.0071673,-0.095552,0,-0.14946,-1.9944,0
-0.0023896,-0.095791,0,-0.049861,-1.9994,0
0.0023933,-0.09579,0,0.049861,-1.9994,0
0.0071624,-0.095552,0,0.14946,-1.9944,0
0.011915,-0.095077,0,0.24869,-1.9845,0
0.016637,-0.094365,0,0.3473,-1.9696,0
0.021327,-0.093417,0,0.44504,-1.9499,0
0.025949,-0.09224,0,0.54168,-1.9252,0
0.030516,-0.090831,0,0.63697,-1.8959,0
0.035008,-0.089196,0,0.73068,-1.8617,0
0.039412,-0.08734,0,0.82257,-1.823,0
0.043713,-0.085268,0,0.91242,-1.7797,0
0.047909,-0.082984,0,1,-1.7321,0
0.051991,-0.080489,0,1.0851,-1.6801,0
0.055932,-0.077802,0,1.1675,-1.6239,0
0.059742,-0.074916,0,1.247,-1.5637,0
0.063403,-0.071844,0,1.3234,-1.4996,0
0.066908,-0.068592,0,1.3965,-1.4317,0
0.070248,-0.065167,0,1.4661,-1.3603,0
0.073398,-0.061597,0,1.5321,-1.2856,0
0.076382,-0.057857,0,1.5943,-1.2076,0
0.079172,-0.053975,0,1.6525,-1.1266,0
0.081764,-0.049962,0,1.7066,-1.0429,0
0.08415,-0.04583,0,1.7564,-0.95651,0
0.086329,-0.041579,0,1.8019,-0.86777,0
0.088301,-0.037208,0,1.843,-0.77687,0
0.090041,-0.032773,0,1.8794,-0.68404,0
0.09156,-0.028253,0,1.9111,-0.58951,0
0.092856,-0.023651,0,1.9382,-0.49351,0
0.093919,-0.018993,0,1.9603,-0.39629,0
0.094753,-0.014265,0,1.9777,-0.29808,0
0.095345,-0.0095331,0,1.9901,-0.19914,0
0.095701,-0.0047865,0,1.9975,-0.099692,0
-0.070219,-0.070775,0,-0.77163,-0.78641,0
0.080425,-0.059874,0,0.87309,-0.64903,0
0.095631,-0.025845,0,1.0674,-0.28085,0
0.040552,0.091731,0,0.44263,0.99122,0
-0.092048,-0.039424,0,-0.99848,-0.42408,0
0.012238,0.099054,0,0.13637,1.0737,0
-0.037074,0.093883,0,-0.39643,1.0101,0
0.058625,-0.080955,0,0.63483,-0.87822,0
-0.099951,-0.010947,0,-1.0797,-0.11228,0
-0.044755,-0.089584,0,-0.48848,-0.96973,0
0.099492,0.0055074,0,1.0825,0.058899,0
0.031968,-0.094545,0,0.34449,-1.0235,0
-0.098653,0.020472,0,-1.0539,0.21405,0
0.06669,0.075224,0,0.71601,0.80533,0
-0.082499,0.056387,0,-0.89691,0.60814,0
0.094058,0.033717,0,1.0268,0.37335,0
-0.0072579,-0.099737,0,-0.078206,-1.0808,0
-0.062593,0.077788,0,-0.67707,0.84679,0
-0.014664,0.095603,0,-0.28512,1.8916,0
0.078681,0.056834,0,1.5498,1.1175,0
-0.081233,-0.053077,0,-1.6058,-1.0427,0
0.088595,-0.039272,0,1.7425,-0.7711,0
0.014623,-0.095919,0,0.28957,-1.8892,0
-0.028632,-0.092449,0,-0.56432,-1.8244,0
-0.089969,0.035101,0,-1.7808,0.6989,0
0.095751,-0.011598,0,1.8991,-0.22414,0
-0.058083,-0.07687,0,-1.1665,-1.5416,0
0.02835,0.092452,0,0.5638,1.8348,0
-0.093143,-0.026528,0,-1.8502,-0.53089,0
0.069311,-0.067334,0,1.3855,-1.3446,0
-0.046173,0.085041,0,-0.9086,1.6677,0
0.050215,0.082418,0,1.0021,1.644,0
0.046207,-0.085084,0,0.91491,-1.6801,0
-0.096546,0.0025602,0,-1.9304,0.053394,0
0.095397,0.01682,0,1.883,0.33426,0
-0.072693,0.063919,0,-1.4237,1.2566,0
0.0048469,0.096758,0,0.09523,1.9153,0
0.087878,0.039509,0,1.7626,0.79416,0
0.066074,0.071048,0,1.3029,1.4038,0
-0.0049132,-0.096898,0,-0.096548,-1.9069,0
-0.028699,0.092172,0,-0.56836,1.8282,0
-0.057839,0.076617,0,-1.1551,1.5249,0
0.033081,-0.091021,0,0.65417,-1.8025,0
-0.09523,0.016437,0,-1.884,0.33219,0
0.096421,0.0023889,0,1.9095,0.049119,0
0.078326,-0.056733,0,1.5493,-1.1174,0
-0.069606,-0.067698,0,-1.3702,-1.3323,0
-0.046266,-0.0849,0,-0.91476,-1.6759,0
-0.080599,0.052613,0,-1.6063,1.0536,0
0.058243,-0.077116,0,1.1579,-1.5339,0
-0.096121,-0.012091,0,-1.9028,-0.23937,0
-0.088592,-0.039469,0,-1.7378,-0.78555,0
0.093213,-0.026696,0,1.8392,-0.52452,0
0.07957,0.06047,0,0.85301,0.65579,0
-0.091877,0.039387,0,-0.99342,0.42929,0
-0.027197,-0.096342,0,-0.29617,-1.0424,0
0.012705,-0.099306,0,0.13492,-1.0767,0
-0.008153,0.10013,0,-0.092263,1.0836,0
0.089678,-0.043142,0,0.97864,-0.46803,0
-0.082164,-0.056523,0,-0.89355,-0.61664,0
-0.0048566,0.096418,0,-0.095356,1.9106,0
0.084097,0.048395,0,1.6561,0.96015,0
0.072662,0.064259,0,1.4323,1.2655,0
-0.014435,-0.095637,0,-0.28512,-1.8916,0
0.0051927,-0.097043,0,0.10233,-1.9098,0
0.058317,0.077333,0,1.1559,1.5187,0
0.014328,0.095854,0,0.28752,1.8967,0
0.091621,0.030595,0,1.8049,0.61561,0
0.037767,0.08919,0,0.74857,1.7652,0
0.083834,-0.048474,0,1.6567,-0.95651,0
-0.092894,0.026251,0,-1.8411,0.51731,0
-0.037115,-0.088983,0,-0.73084,-1.7772,0
-0.086089,0.044068,0,-1.7107,0.87233,0
0.02388,-0.09377,0,0.47406,-1.8549,0
-0.075846,-0.060542,0,-1.4937,-1.19,0
-0.064962,0.070889,0,-1.2999,1.4202,0
-0.036775,0.089096,0,-0.73324,1.7818,0
-0.054789,0.083495,0,-0.59846,0.90316,0
-0.059912,0.080158,0,-0.69335,0.94066,0
-0.065889,0.075156,0,-0.77029,0.8819,0
-0.062473,0.078317,0,-0.78469,0.98184,0
-0.055506,0.083448,0,-0.69227,1.0398,0
-0.068419,0.072909,0,-0.86239,0.92047,0
-0.065169,0.075828,0,-0.87714,1.0194,0
-0.070479,0.070794,0,-0.95503,0.95744,0
-0.06745,0.073571,0,-0.96986,1.0561,0
-0.072304,0.068709,0,-1.0478,0.994,0
-0.062162,0.07808,0,-0.8919,1.1183,0
-0.064535,0.075808,0,-0.98469,1.1548,0
-0.059434,0.079864,0,-0.90676,1.2169,0
-0.075318,0.065406,0,-1.0329,0.89542,0
-0.076611,0.063742,0,-1.1257,0.93187,0
-0.079584,0.060376,0,-1.1131,0.83606,0
-0.080635,0.058709,0,-1.2041,0.87017,0
-0.083627,0.054631,0,-1.1915,0.77443,0
-0.084437,0.05316,0,-1.2821,0.80818,0
-0.087242,0.048614,0,-1.2673,0.70961,0
-0.087283,0.047825,0,-1.3598,0.74559,0
-0.08987,0.043233,0,-1.3448,0.64693,0
-0.073715,0.06679,0,-1.1406,1.0305,0
-0.081489,0.05712,0,-1.2966,0.90623,0
-0.089758,0.042663,0,-1.4376,0.68327,0
-0.092132,0.037783,0,-1.4227,0.58465,0
