"f_42-2",":0",":1",":2"
-1.3163,1.1675,-1.6239,0
-1.3162,1.247,-1.5637,0
-1.3173,1.3234,-1.4996,0
-1.3189,1.3965,-1.4317,0
-1.3212,1.4661,-1.3603,0
-1.3251,1.5321,-1.2856,0
-1.3252,1.5943,-1.2076,0
-1.3264,1.6525,-1.1266,0
-1.327,1.7066,-1.0429,0
-1.3263,1.7564,-0.95651,0
-1.3253,1.8019,-0.86777,0
-1.325,1.843,-0.77687,0
-1.3232,1.8794,-0.68404,0
-1.3211,1.9111,-0.58951,0
-1.3196,1.9382,-0.49351,0
-1.3173,1.9603,-0.39629,0
-1.3178,1.9777,-0.29808,0
-1.3198,1.9901,-0.19914,0
-1.32,1.9975,-0.099692,0
-1.0169,-0.77163,-0.78641,0
-1.0124,0.87309,-0.64903,0
-1.0258,1.0674,-0.28085,0
-1.013,0.44263,0.99122,0
-1.0031,-0.99848,-0.42408,0
-1.0077,0.13637,1.0737,0
-1.0089,-0.39643,1.0101,0
-1.0061,0.63483,-0.87822,0
-1.0036,-1.0797,-0.11228,0
-1.0027,-0.48848,-0.96973,0
-1.009,1.0825,0.058899,0
-0.99951,0.34449,-1.0235,0
-0.99628,-1.0539,0.21405,0
-1.0069,0.71601,0.80533,0
-1.0071,-0.89691,0.60814,0
-1.0191,1.0268,0.37335,0
-1.0011,-0.078206,-1.0808,0
-1.0079,-0.67707,0.84679,0
-1.3094,-0.28512,1.8916,0
-1.3138,1.5498,1.1175,0
-1.3072,-1.6058,-1.0427,0
-1.3115,1.7425,-0.7711,0
-1.3043,0.28957,-1.8892,0
-1.3022,-0.56432,-1.8244,0
-1.3085,-1.7808,0.6989,0
-1.3079,1.8991,-0.22414,0
-1.3056,-1.1665,-1.5416,0
-1.3123,0.5638,1.8348,0
-1.3052,-1.8502,-0.53089,0
-1.3117,1.3855,-1.3446,0
-1.3058,-0.9086,1.6677,0
-1.3144,1.0021,1.644,0
-1.3055,0.91491,-1.6801,0
-1.3068,-1.9304,0.053394,0
-1.3091,1.883,0.33426,0
-1.3068,-1.4237,1.2566,0
-1.3115,0.09523,1.9153,0
-1.3149,1.7626,0.79416,0
-1.3147,1.3029,1.4038,0
-1.3027,-0.096548,-1.9069,0
