"f_42-4",":0",":1",":2"
1.0901,1.8049,0.61561,0
1.091,0.74857,1.7652,0
1.0906,1.6567,-0.95651,0
1.0906,-1.8411,0.51731,0
1.0915,-0.73084,-1.7772,0
1.0913,-1.7107,0.87233,0
1.0908,0.47406,-1.8549,0
1.0903,-1.4937,-1.19,0
1.0918,-1.2999,1.4202,0
1.092,-0.73324,1.7818,0
1.0083,-0.59846,0.90316,0
1.0168,-0.69335,0.94066,0
1.0171,-0.77029,0.8819,0
1.0257,-0.78469,0.98184,0
1.0249,-0.69227,1.0398,0
1.0261,-0.86239,0.92047,0
1.0345,-0.87714,1.0194,0
1.0352,-0.95503,0.95744,0
1.0434,-0.96986,1.0561,0
1.0444,-1.0478,0.994,0
1.043,-0.8919,1.1183,0
1.0517,-0.98469,1.1548,0
1.0517,-0.90676,1.2169,0
1.0367,-1.0329,0.89542,0
1.0461,-1.1257,0.93187,0
1.0392,-1.1131,0.83606,0
1.0485,-1.2041,0.87017,0
1.042,-1.1915,0.77443,0
1.0515,-1.2821,0.80818,0
1.0452,-1.2673,0.70961,0
1.055,-1.3598,0.74559,0
1.0492,-1.3448,0.64693,0
1.0537,-1.1406,1.0305,0
1.0581,-1.2966,0.90623,0
1.059,-1.4376,0.68327,0
1.0537,-1.4227,0.58465,0
1.0438,-1.3299,0.54822,0
1.0489,-1.4078,0.48602,0
1.0389,-1.315,0.4496,0
1.0446,-1.393,0.38743,0
1.0544,-1.4858,0.42385,0
1.0506,-1.4709,0.32526,0
1.0408,-1.3781,0.28884,0
1.0473,-1.456,0.22667,0
1.0377,-1.3632,0.19024,0
1.0447,-1.4412,0.12807,0
1.0542,-1.534,0.1645,0
1.052,-1.5191,0.065902,0
1.0427,-1.4263,0.029479,0
1.0504,-1.5043,-0.032692,0
1.0416,-1.4142,-0.069533,0
1.0495,-1.4899,-0.13135,0
1.041,-1.4001,-0.16864,0
1.0492,-1.4752,-0.23004,0
1.0407,-1.3826,-0.26691,0
1.0495,-1.4599,-0.3286,0
1.0416,-1.3691,-0.36533,0
1.0505,-1.4452,-0.42716,0
1.043,-1.3545,-0.46389,0
1.0522,-1.4304,-0.52574,0
1.0449,-1.3376,-0.56216,0
1.0545,-1.4152,-0.62428,0
1.0476,-1.3224,-0.66069,0
1.0574,-1.4002,-0.72285,0
1.051,-1.3074,-0.75927,0
1.0578,-1.5526,-0.2921,0
1.0584,-1.5823,-0.094875,0
1.0411,-1.2295,-0.6971,0
1.045,-1.2146,-0.79569,0
1.0549,-1.2925,-0.85786,0
1.0495,-1.1997,-0.89428,0
1.04,-1.1244,-0.83632,0
1.0446,-1.1075,-0.93201,0
1.0544,-1.1849,-0.99309,0
1.05,-1.0921,-1.0295,0
1.0401,-1.0141,-0.96712,0
1.046,-0.99921,-1.0658,0
1.0559,-1.0772,-1.1279,0
1.0524,-0.98433,-1.1643,0
1.0427,-0.90638,-1.1021,0
1.0495,-0.8915,-1.2007,0
1.04,-0.81355,-1.1386,0
1.0473,-0.79868,-1.2371,0
1.0567,-0.87663,-1.2993,0
1.0549,-0.78381,-1.3357,0
1.0456,-0.70586,-1.2736,0
1.0536,-0.69099,-1.3722,0
1.0447,-0.61304,-1.31,0
1.053,-0.59817,-1.4086,0
1.0442,-0.51723,-1.3459,0
1.0531,-0.50485,-1.4449,0
1.0447,-0.42295,-1.3833,0
1.0537,-0.41171,-1.4815,0
1.0458,-0.33458,-1.4192,0
1.055,-0.31957,-1.5178,0
1.0478,-0.24301,-1.4589,0
1.057,-0.22708,-1.5548,0
1.0502,-0.15046,-1.4959,0
1.0595,-0.13435,-1.5914,0
1.0529,-0.056422,-1.5293,0
1.0421,-0.076279,-1.4203,0
1.0463,0.020895,-1.4648,0
1.0563,0.036552,-1.5648,0
1.0505,0.11447,-1.5025,0
1.0616,-1.508,-0.58785,0
1.0408,0.10042,-1.4057,0
1.0453,0.19247,-1.4413,0
1.0551,0.20741,-1.5392,0
1.0503,0.28538,-1.4771,0
1.0404,0.27054,-1.3784,0
1.046,0.36335,-1.4148,0
1.0558,0.37823,-1.5134,0
1.052,0.45618,-1.4512,0
1.0422,0.4413,-1.3526,0
1.0487,0.53413,-1.389,0
1.039,0.51925,-1.2904,0
1.046,0.61207,-1.3268,0
1.0556,0.62695,-1.4254,0
1.0534,0.70489,-1.3633,0
1.044,0.69001,-1.2647,0
1.0518,0.78284,-1.3011,0
1.0427,0.76766,-1.2032,0
1.0508,0.86073,-1.239,0
1.042,0.8463,-1.141,0
1.0505,0.93878,-1.1769,0
1.042,0.92483,-1.0784,0
1.0508,1.0168,-1.1146,0
1.0427,1.002,-1.016,0
1.0518,1.0946,-1.0524,0
1.044,1.0798,-0.95377,0
1.0534,1.1726,-0.99018,0
1.0461,1.1577,-0.89158,0
1.0557,1.2505,-0.928,0
1.0488,1.2356,-0.8294,0
1.0585,1.3284,-0.86581,0
1.052,1.3136,-0.76722,0
1.0425,1.2224,-0.73291,0
1.046,1.299,-0.66898,0
1.0559,1.3916,-0.7051,0
1.0503,1.3767,-0.60652,0
1.0407,1.2878,-0.57048,0
1.0453,1.3623,-0.50785,0
1.0552,1.4547,-0.54428,0
1.0506,1.4398,-0.44568,0
1.0404,1.3435,-0.40988,0
1.0465,1.4243,-0.34719,0
1.0564,1.5176,-0.38351,0
1.0528,1.5027,-0.28492,0
1.0431,1.4098,-0.24851,0
1.0499,1.4879,-0.18631,0
1.0402,1.395,-0.1499,0
1.0475,1.473,-0.087718,0
1.057,1.5658,-0.12413,0
1.055,1.5509,-0.025534,0
1.0458,1.4581,0.010874,0
1.0537,1.5361,0.073058,0
1.0446,1.442,0.10927,0
1.053,1.521,0.17162,0
1.0442,1.4268,0.20782,0
1.053,1.506,0.2702,0
1.0445,1.412,0.30642,0
1.0536,1.4911,0.36879,0
1.0455,1.3971,0.40502,0
1.0548,1.4762,0.46738,0
1.0472,1.3834,0.50379,0
1.0567,1.4617,0.56601,0
1.0495,1.3688,0.60242,0
1.0591,1.4468,0.66461,0
1.0524,1.3539,0.70101,0
1.0427,1.276,0.63883,0
1.046,1.2611,0.73742,0
1.0559,1.3391,0.79961,0
1.05,1.2462,0.83601,0
1.0597,0.87565,-1.3375,0
1.0591,1.0315,-1.2131,0
1.0358,1.3355,0.24446,0
1.0598,1.3242,0.8982,0
1.0545,1.2314,0.9346,0
1.0445,1.1534,0.87242,0
1.0495,1.1385,0.97101,0
1.0396,1.0606,0.90882,0
1.0451,1.0457,1.0074,0
1.055,1.1236,1.0696,0
1.0511,1.0308,1.106,0
1.0413,0.95288,1.0438,0
1.0477,0.93799,1.1424,0
1.038,0.86006,1.0802,0
1.045,0.84517,1.1788,0
1.0546,0.92311,1.241,0
1.0523,0.83028,1.2774,0
1.0429,0.75235,1.2152,0
1.0506,0.73746,1.3138,0
1.0416,0.6614,1.2522,0
1.0496,0.64495,1.3503,0
1.0408,0.56739,1.289,0
1.0492,0.55198,1.3868,0
1.0407,0.47313,1.3257,0
1.0494,0.45889,1.4233,0
1.0414,0.3816,1.3628,0
1.0504,0.36624,1.4598,0
1.0428,0.28902,1.3994,0
1.0519,0.27348,1.4962,0
1.0446,0.19556,1.4341,0
1.0541,0.18056,1.5324,0
1.0473,0.10261,1.4701,0
1.057,0.087703,1.5687,0
1.0506,0.0097581,1.5065,0
1.0585,0.72262,1.4124,0
1.0578,0.53693,1.4852,0
1.0595,0.35128,1.558,0
1.0408,0.024644,1.4079,0
1.0446,-0.068186,1.4443,0
1.0545,-0.083074,1.5428,0
1.049,-0.16101,1.4807,0
1.0589,-0.1759,1.5792,0
1.0538,-0.25384,1.5171,0
1.0439,-0.23895,1.4185,0
1.0493,-0.33178,1.4549,0
1.0394,-0.31689,1.3563,0
1.0453,-0.40972,1.3927,0
1.0551,-0.4246,1.4913,0
1.0516,-0.50254,1.4291,0
1.0419,-0.48765,1.3305,0
1.0486,-0.58048,1.3669,0
1.0582,-0.59537,1.4655,0
1.0628,1.2654,-1.0266,0
1.0375,-0.23947,-1.3542,0
1.0619,1.614,0.13524,0
1.0557,-0.67331,1.4033,0
