"f_42-0:0","f_42-0:1","f_42-0:2",":0",":1",":2"
-0.49518,0.050761,0,-1.9901,0.19914,0
-0.49707,0.026064,0,-1.9975,0.099692,0
-0.49775,0.0011403,0,-2,-5.8974e-09,0
-0.49718,-0.023896,0,-1.9975,-0.099692,0
-0.49534,-0.048938,0,-1.9901,-0.19914,0
-0.49224,-0.073881,0,-1.9777,-0.29808,0
-0.48789,-0.098612,0,-1.9603,-0.39629,0
-0.48231,-0.12302,0,-1.9382,-0.49351,0
-0.47557,-0.14698,0,-1.9111,-0.58951,0
-0.46766,-0.17049,0,-1.8794,-0.68404,0
-0.45857,-0.19357,0,-1.843,-0.77687,0
-0.44838,-0.21616,0,-1.8019,-0.86777,0
-0.43707,-0.23814,0,-1.7564,-0.95651,0
-0.42476,-0.25952,0,-1.7066,-1.0429,0
-0.41139,-0.28022,0,-1.6525,-1.1266,0
-0.39699,-0.30027,0,-1.5943,-1.2076,0
-0.38159,-0.31962,0,-1.5321,-1.2856,0
-0.36523,-0.3382,0,-1.4661,-1.3603,0
-0.34794,-0.35595,0,-1.3965,-1.4317,0
-0.32977,-0.37285,0,-1.3234,-1.4996,0
-0.31075,-0.38886,0,-1.247,-1.5637,0
-0.29094,-0.40388,0,-1.1675,-1.6239,0
-0.27038,-0.41793,0,-1.0851,-1.6801,0
-0.22711,-0.44294,0,-0.91242,-1.7797,0
-0.20457,-0.45378,0,-0.82257,-1.823,0
-0.18164,-0.46345,0,-0.73068,-1.8617,0
-0.15829,-0.47193,0,-0.63697,-1.8959,0
-0.13449,-0.47925,0,-0.54168,-1.9252,0
-0.11038,-0.48538,0,-0.44504,-1.9499,0
-0.086022,-0.49028,0,-0.3473,-1.9696,0
-0.061441,-0.49396,0,-0.24869,-1.9845,0
-0.036727,-0.49641,0,-0.14946,-1.9944,0
-0.011855,-0.49761,0,-0.049861,-1.9994,0
0.013034,-0.49759,0,0.049861,-1.9994,0
0.037868,-0.49632,0,0.14946,-1.9944,0
0.062594,-0.49381,0,0.24869,-1.9845,0
0.087152,-0.49007,0,0.3473,-1.9696,0
0.11147,-0.48512,0,0.44504,-1.9499,0
0.1355,-0.47896,0,0.54168,-1.9252,0
0.15918,-0.47163,0,0.63697,-1.8959,0
0.18249,-0.46311,0,0.73068,-1.8617,0
0.2054,-0.45341,0,0.82257,-1.823,0
0.22783,-0.44257,0,0.91242,-1.7797,0
0.24967,-0.43062,0,1,-1.7321,0
0.27087,-0.41761,0,1.0851,-1.6801,0
0.29143,-0.40353,0,1.1675,-1.6239,0
0.31128,-0.38842,0,1.247,-1.5637,0
0.33034,-0.37234,0,1.3234,-1.4996,0
0.34854,-0.35535,0,1.3965,-1.4317,0
0.36582,-0.33754,0,1.4661,-1.3603,0
0.38212,-0.31901,0,1.5321,-1.2856,0
0.39739,-0.29974,0,1.5943,-1.2076,0
0.41171,-0.27976,0,1.6525,-1.1266,0
0.425,-0.25913,0,1.7066,-1.0429,0
0.43726,-0.23785,0,1.7564,-0.95651,0
0.44847,-0.21596,0,1.8019,-0.86777,0
0.45862,-0.1935,0,1.843,-0.77687,0
0.46765,-0.17053,0,1.8794,-0.68404,0
0.47554,-0.14705,0,1.9111,-0.58951,0
0.48229,-0.12313,0,1.9382,-0.49351,0
0.48786,-0.09878,0,1.9603,-0.39629,0
0.49221,-0.074141,0,1.9777,-0.29808,0
0.49532,-0.049405,0,1.9901,-0.19914,0
0.49717,-0.024593,0,1.9975,-0.099692,0
