"f:0","f:1","f:2",":0",":1",":2"
2.5831423666744513e-9,-0.7400552076909278,0,1,0,0
-0.0002999945443882268,-0.7400529891368777,0,0.999,0,0
-0.000599976023702431,-0.7400463360978397,0,0.998,0,0
-0.0008999269998837267,-0.7400352524560491,0,0.997,0,0
-0.001199832618015484,-0.7400197420937414,0,0.996,0,0
-0.0014996780231812945,-0.739999808893152,0,0.995,0,0
-0.0017994483604646394,-0.739975456736516,0,0.994,0,0
-0.0020991287749488885,-0.739946689506069,0,0.993,0,0
-0.0023987044117175227,-0.7399135110840462,0,0.992,0,0
-0.002698160415854134,-0.7398759253526831,0,0.991,0,0
-0.002997481932442092,-0.7398339361942149,0,0.99,0,0
-0.003296654106564989,-0.739787547490877,0,0.989,0,0
-0.0035956620833061947,-0.7397367631249048,0,0.988,0,0
-0.00389449100774919,-0.7396815869785337,0,0.987,0,0
-0.004193126024977567,-0.7396220229339989,0,0.986,0,0
-0.004491552280074695,-0.7395580748735359,0,0.985,0,0
-0.00478975491541378,-0.7394897466841919,0,0.984,0,0
-0.005087719169635352,-0.7394170427134756,0,0.983,0,0
-0.005385430755303622,-0.7393399681116855,0,0.982,0,0
-0.005682875484602112,-0.7392585281063,0,0.981,0,0
-0.00598003916971479,-0.7391727279247982,0,0.98,0,0
-0.0062769076228250675,-0.7390825727946587,0,0.979,0,0
-0.0065734666561168,-0.7389880679433602,0,0.978,0,0
-0.006869702081773621,-0.7388892185983815,0,0.977,0,0
-0.007165599711979276,-0.7387860299872013,0,0.976,0,0
-0.007461145358917398,-0.7386785073372985,0,0.975,0,0
-0.007756324834771622,-0.7385666558761516,0,0.974,0,0
-0.008051123951725803,-0.7384504808312394,0,0.973,0,0
-0.008345528521963463,-0.7383299874300409,0,0.972,0,0
-0.00863952435766846,-0.7382051809000344,0,0.971,0,0
-0.008933097271024315,-0.738076066468699,0,0.97,0,0
-0.009226233074214885,-0.7379426493635133,0,0.969,0,0
-0.009518917290826101,-0.7378049344893268,0,0.968,0,0
-0.00981113400456346,-0.7376629252652381,0,0.967,0,0
-0.0101028697439699,-0.7375166280563764,0,0.966,0,0
-0.010394111539550832,-0.7373660498070804,0,0.965,0,0
-0.010684846421811223,-0.7372111974616888,0,0.964,0,0
-0.010975061421256482,-0.7370520779645404,0,0.963,0,0
-0.011264743568391689,-0.7368886982599738,0,0.962,0,0
-0.01155387989372203,-0.7367210652923278,0,0.961,0,0
-0.011842457427752695,-0.7365491860059411,0,0.96,0,0
-0.012130463200988872,-0.7363730673451524,0,0.959,0,0
-0.012417884243935862,-0.7361927162543004,0,0.958,0,0
-0.01270470758709863,-0.7360081396777238,0,0.957,0,0
-0.012990920260982586,-0.7358193445597614,0,0.956,0,0
-0.013276509296092809,-0.7356263378447517,0,0.955,0,0
-0.013561461722934376,-0.7354291264770336,0,0.954,0,0
-0.013845764572012809,-0.7352277174009458,0,0.953,0,0
-0.014129404873832963,-0.735022117560827,0,0.952,0,0
-0.014412369658900248,-0.7348123339010159,0,0.951,0,0
-0.014694645957719632,-0.7345983733658511,0,0.95,0,0
-0.014976220800796525,-0.7343802428996714,0,0.949,0,0
-0.015257081218636115,-0.7341579494468156,0,0.948,0,0
-0.015537214241743369,-0.7339314999516223,0,0.947,0,0
-0.015816606900623698,-0.7337009013584302,0,0.946,0,0
-0.016095246225782178,-0.7334661606115781,0,0.945,0,0
-0.016373119247724,-0.7332272846554047,0,0.944,0,0
-0.01665021299695435,-0.7329842804342486,0,0.943,0,0
-0.01692651450397853,-0.7327371548924486,0,0.942,0,0
-0.017202010799301615,-0.7324859149743435,0,0.941,0,0
-0.017476688913428795,-0.7322305676242717,0,0.94,0,0
-0.01775053584143549,-0.7319711198785807,0,0.939,0,0
-0.018023538917499415,-0.7317075801349915,0,0.938,0,0
-0.018295686890554608,-0.7314399573020234,0,0.937,0,0
-0.01856696870055541,-0.7311682601977844,0,0.936,0,0
-0.018837373287455605,-0.7308924976403822,0,0.935,0,0
-0.01910688959120932,-0.730612678447925,0,0.934,0,0
-0.01937550655177056,-0.7303288114385207,0,0.933,0,0
-0.019643213109093338,-0.7300409054302772,0,0.932,0,0
-0.01990999820313155,-0.7297489692413026,0,0.931,0,0
