"p_1:0","p_1:1","p_1:2","p_2:0","p_2:1","p_2:2","p_3:0","p_3:1","p_3:2"
0.2806965095230526, 0.1545162838711863, 0.0, 0.268768927662221, 0.1394459669791058, 0.0, 0.2886009872962763, 0.1411057295402627, 0.0
0.3464154813267351, 0.1481642366087978, 0.0, 0.337964390660293, 0.1290882534892353, 0.0, 0.3272643890867827, 0.1484559057429061, 0.0
0.408555689448324, 0.1119154136454484, 0.0, 0.4285523501131637, 0.112279306114085, 0.0, 0.4188741884256458, 0.09478506136925936, 0.0
0.1080422768802719, 0.1774469258677845, 0.0, 0.1335901151873502, 0.1739258733833113, 0.0, 0.1240425575052425, 0.1914998354384171, 0.0
0.4892009883877257, 0.07877923742595463, 0.0, 0.4794846248127858, 0.06128986944408824, 0.0, 0.4691680607174369, 0.0784135023962991, 0.0
0.05904802543198776, 0.05448171241804315, 0.0, 0.0784263600755542, 0.05579790513836864, 0.0, 0.06698724602131378, 0.04046831973500667, 0.0
0.9375043304435327, 0.1736720405062042, 0.0, 0.9471823859904245, 0.1911744768371988, 0.0, 0.9579545973996969, 0.1738122136430493, 0.0
0.2304653222702733, 0.1419606491611088, 0.0, 0.222960724404394, 0.1584306602137898, 0.0, 0.2420480757830859, 0.1567957178266262, 0.0
0.6669899701765909, 0.185769880739484, 0.0, 0.686979096818374, 0.1860446781074562, 0.0, 0.677454212658776, 0.1687622074572037, 0.0
0.1515436925320689, 0.1735691089439765, 0.0, 0.1440358339311786, 0.1909812819083138, 0.0, 0.1335901151873502, 0.1739258733833113, 0.0
0.08627766373227905, 0.2387973953278268, 0.0, 0.06737699013854895, 0.2404988898889557, 0.0, 0.07586599349831545, 0.2241468354767257, 0.0
0.8097674357407241, 0.05004608313352633, 0.0, 0.7994495283001765, 0.06717840551960023, 0.0, 0.7897714652057499, 0.04967597437229413, 0.0
0.5667901817857921, 0.2195510035958793, 0.0, 0.5774727448631376, 0.2377423865120536, 0.0, 0.5579212749589872, 0.2385668083987675, 0.0
0.2085901482198055, 0.1082039395235027, 0.0, 0.2189085938755347, 0.0910757081344504, 0.0, 0.1989121996872082, 0.09069614570178505, 0.0
0.4285523501131637, 0.112279306114085, 0.0, 0.4485460931234927, 0.1126600086134313, 0.0, 0.4382302686303927, 0.1297645497871976, 0.0
0.619478007266473, 0.06398186953932239, 0.0, 0.6291580777491237, 0.08137534297492702, 0.0, 0.6091598694182896, 0.08099681539883052, 0.0
0.06624686158082962, 0.2086737698459851, 0.0, 0.05718582497041978, 0.2248877438397265, 0.0, 0.07586599349831545, 0.2241468354767257, 0.0
0.8981516401070313, 0.1382972778567307, 0.0, 0.9084701647934695, 0.1211646779432099, 0.0, 0.9181482198678098, 0.1386671398287354, 0.0
0.7057425391848556, 0.2415070909244219, 0.0, 0.7158609126198465, 0.2243258449032351, 0.0, 0.6951017938003344, 0.2245658265662197, 0.0
0.8900582256565288, 0.01903555540681616, 0.0, 0.9098827778884273, 0.02048646065569208, 0.0, 0.899162445198587, 0.0359103299192056, 0.0
0.03978879020923923, 0.05480319328688605, 0.0, 0.01956163010295363, 0.05670136143592311, 0.0, 0.03124845776537098, 0.04136232107279125, 0.0
0.3244726250064894, 0.1861501235001707, 0.0, 0.3152036502355332, 0.2037800481309768, 0.0, 0.3385713344128955, 0.2053775239471897, 0.0
0.9833456653118849, 0.1157692307689626, 0.0, 0.9795334920684804, 0.1380033720021026, 0.0, 0.9665307187947634, 0.1217312568435372, 0.0
0.4897981753984629, 0.04415624337459077, 0.0, 0.5098386950313696, 0.0443789335412678, 0.0, 0.4995002850923404, 0.06163182402048498, 0.0
0.8696436638100448, 0.05121738674656651, 0.0, 0.860014251241963, 0.03341192860739514, 0.0, 0.8792632990397523, 0.0345854588934911, 0.0
0.3141091429815859, -0.006926647275509455, 0.0, 0.3219257582392527, 0.01111464576439925, 0.0, 0.3036771461112525, 0.00513137183264234, 0.0
0.3581303651729478, 0.1284445415535307, 0.0, 0.3484997946513333, 0.1110236294001649, 0.0, 0.3685326573818333, 0.1112289942740167, 0.0
0.5768978954784849, 0.2016346145929729, 0.0, 0.5872393371594316, 0.184515755512808, 0.0, 0.5968894464439508, 0.2019841654049486, 0.0
0.2551696480437315, -0.009978906000617833, 0.0, 0.274841943846978, -0.009516684074441157, 0.0, 0.266997033071785, 0.00722562777767174, 0.0
0.7684946531900863, 0.118546078717193, 0.0, 0.7788128664213032, 0.101430101207783, 0.0, 0.7588161726203939, 0.1010665756277545, 0.0
0.7297818710782087, 0.04856656563857784, 0.0, 0.7097852904194515, 0.04819678960164074, 0.0, 0.7200928342470462, 0.03165801550094825, 0.0
0.7381789870769998, 0.135339190206381, 0.0, 0.7470703670881029, 0.1519983636156763, 0.0, 0.7277318352353306, 0.1521968399653802, 0.0
0.3298318166353494, 0.04177823936313249, 0.0, 0.337314697738648, 0.02576633927948473, 0.0, 0.3201042174575583, 0.02862338612744638, 0.0
0.8288091243879476, 0.1905797670580645, 0.0, 0.8377894048976741, 0.1720788500614905, 0.0, 0.8191482763935569, 0.1737874499329014, 0.0
0.675662188909006, 0.2017915020711188, 0.0, 0.6644817353313505, 0.2161021696252659, 0.0, 0.6828937494327122, 0.2157507413189589, 0.0
0.9803181062817625, 0.2596956954311271, 0.0, 0.9784791865274268, 0.238086407434965, 0.0, 0.965926223585343, 0.2453119941088439, 0.0
0.8775145867119356, 0.1725626951959044, 0.0, 0.8671960606404019, 0.1896953700121586, 0.0, 0.8575629454477782, 0.1722205788570286, 0.0
0.000102598301997935, 0.1830768960652931, 0.0, 0.000128247877497381, 0.1638461200816447, 0.0, 0.01714638277712726, 0.1713107846981503, 0.0
0.5078976049661663, 0.1484045588904238, 0.0, 0.4879013896749363, 0.1480345922387075, 0.0, 0.498219581623832, 0.1309021068751121, 0.0
0.8181659954971237, 0.1367813582373676, 0.0, 0.8381620463580977, 0.137179821843297, 0.0, 0.827798942059242, 0.1552582489621742, 0.0
0.04971115098775951, 0.07048915630466218, 0.0, 0.05904802543198776, 0.05448171241804315, 0.0, 0.03978879020923923, 0.05480319328688605, 0.0
0.4054026621770108, 0.2351155410645375, 0.0, 0.3933749797412105, 0.2153755707361368, 0.0, 0.4136612586980567, 0.2140197390382014, 0.0
0.3098377709239122, 0.04157237592972604, 0.0, 0.301611043750629, 0.02288533030048938, 0.0, 0.3201042174575583, 0.02862338612744638, 0.0
0.4188741884256458, 0.09478506136925936, 0.0, 0.3988775894028365, 0.09441665095213947, 0.0, 0.4091961076631745, 0.07728460333461493, 0.0
0.4388544022223584, 0.09516894879656597, 0.0, 0.4485460931234927, 0.1126600086134313, 0.0, 0.4588673179832642, 0.095527236820734, 0.0
0.1192960978755625, 0.05449802780251387, 0.0, 0.1393726632920377, 0.05507934485236056, 0.0, 0.1275785355712785, 0.03466836587328004, 0.0
0.05679698861853306, 0.1919019869177169, 0.0, 0.04760683801399641, 0.208127445740087, 0.0, 0.03874226907203984, 0.19181604384446, 0.0
0.249969292447855, 0.1409524749637767, 0.0, 0.2304653222702733, 0.1419606491611088, 0.0, 0.2420480757830859, 0.1567957178266262, 0.0
0.5792449878887427, 0.06285107200966558, 0.0, 0.5588164071167548, 0.06208617116665899, 0.0, 0.5689296127016612, 0.08007396777442077, 0.0
0.7497784484276029, 0.04893634348013243, 0.0, 0.7401003977489293, 0.03143390554273395, 0.0, 0.7606451271483309, 0.0326839311609947, 0.0
0.4995002850923404, 0.06163182402048498, 0.0, 0.5193788942547638, 0.06204911624502102, 0.0, 0.5091591404811007, 0.0791421990636145, 0.0
0.5278938777525555, 0.1487744959226593, 0.0, 0.5375725409569412, 0.1662766135542942, 0.0, 0.5478903458527041, 0.1491443315857077, 0.0
0.0, 0.26, 0.0, 2.564957549951267e-05, 0.2407692240163016, 0.0, 0.01125271932119251, 0.2487545026435147, 0.0
0.3395208433706545, 0.0586234972564206, 0.0, 0.3195274044344616, 0.05839657912845173, 0.0, 0.3292014056720822, 0.07584308090364689, 0.0
0.5382105520185861, 0.1316428054509486, 0.0, 0.5182145931562421, 0.1312727016513059, 0.0, 0.5278938777525555, 0.1487744959226593, 0.0
0.538824876724936, 0.0970215006681846, 0.0, 0.5485253427026165, 0.1145121163456021, 0.0, 0.5587768330244467, 0.0973661836260677, 0.0
0.08641290478149485, 0.1746774420418201, 0.0, 0.07584880073782754, 0.1916969601885582, 0.0, 0.09269321357078723, 0.189827487378566, 0.0
0.1782876688674953, 0.1242845527386492, 0.0, 0.1685991281124174, 0.1073491651714204, 0.0, 0.1582807000915572, 0.1244765665785561, 0.0
0.4175989822802074, 0.1628367792594247, 0.0, 0.4079180096304106, 0.1462930747362267, 0.0, 0.397769491257524, 0.1630656480691448, 0.0
0.1086072931989712, 0.1063529475278552, 0.0, 0.09892893842655162, 0.08886668541658566, 0.0, 0.1189253671964377, 0.08924471191910138, 0.0
0.6192130063024518, 0.01724513878362187, 0.0, 0.6401174909643126, 0.02958502726162912, 0.0, 0.6204036569794111, 0.03433881639902713, 0.0
0.3794482303751849, 0.05907097778412679, 0.0, 0.3696746529344046, 0.04057654923850188, 0.0, 0.3896837843451252, 0.0402055826935292, 0.0
0.3530228816122417, 0.247273246954138, 0.0, 0.3725585682931228, 0.2496932487801632, 0.0, 0.3644783088576042, 0.2322803780750137, 0.0
0.2382681450290224, 0.1258901611178578, 0.0, 0.2182686838929465, 0.1256798048459644, 0.0, 0.2304653222702733, 0.1419606491611088, 0.0
0.1402029561019248, 0.02034063916690593, 0.0, 0.157836567739345, 0.02313000631461521, 0.0, 0.1515640151872914, 0.009426200132701004, 0.0
0.1286039625249225, 0.1067179640573915, 0.0, 0.1182867968819694, 0.1237770791451134, 0.0, 0.1086072931989712, 0.1063529475278552, 0.0
0.8987921090429922, 0.1036622526215463, 0.0, 0.878791224474897, 0.1032945123457929, 0.0, 0.8890704838537087, 0.0861834917739065, 0.0
0.1943993733294089, 0.2074431741756034, 0.0, 0.2046212878385293, 0.2245614210578108, 0.0, 0.2144598461448481, 0.2064228187661114, 0.0
0.09797075172178764, 0.05249245349278251, 0.0, 0.0824285374985737, 0.03957213071228683, 0.0, 0.0784263600755542, 0.05579790513836864, 0.0
0.4588673179832642, 0.095527236820734, 0.0, 0.4685453736937183, 0.1130296720131658, 0.0, 0.4788805044108156, 0.09590764887896093, 0.0
0.1440358339311786, 0.1909812819083138, 0.0, 0.1543681269958451, 0.209986713169059, 0.0, 0.1351895594094132, 0.2097655698382893, 0.0
0.9084525371271484, 0.05273922441446994, 0.0, 0.8890079991021489, 0.05192629787534825, 0.0, 0.899162445198587, 0.0359103299192056, 0.0
0.5178345610663797, 0.2000447916264306, 0.0, 0.5059318707131878, 0.2178154810070653, 0.0, 0.5020467780463322, 0.1977599603472391, 0.0
0.6085214009531477, 0.1156181233134106, 0.0, 0.6181994941509491, 0.1331205387863635, 0.0, 0.6285180168591842, 0.1159878807921835, 0.0
0.6556593267350194, 0.2018998170234698, 0.0, 0.675662188909006, 0.2017915020711188, 0.0, 0.6644817353313505, 0.2161021696252659, 0.0
0.9296019947451676, 0.02301137805990035, 0.0, 0.949412730215945, 0.02508633528203833, 0.0, 0.9390290043868528, 0.03993811746078813, 0.0
0.4116407029570853, 0.2544434291267397, 0.0, 0.4054026621770108, 0.2351155410645375, 0.0, 0.4225466142003342, 0.2447903885808814, 0.0
0.9801269085424014, 0.07603923164465887, 0.0, 0.9666248862148059, 0.09081050273685803, 0.0, 0.958570409290809, 0.073635922477417, 0.0
0.8975111680421796, 0.1729324722948409, 0.0, 0.9175077491499148, 0.1733022614265515, 0.0, 0.9071106721249015, 0.1903631049819052, 0.0
1.0, 0.06769230769217592, 0.0, 1.0, 0.0869230769228906, 0.0, 0.9801269085424014, 0.07603923164465887, 0.0
0.788491540110491, 0.1188993302351696, 0.0, 0.7981721201760914, 0.1362652466447475, 0.0, 0.8084879658644711, 0.1192775205261873, 0.0
0.4263732233568834, 0.2300433121002308, 0.0, 0.4337010171987303, 0.2120277663212012, 0.0, 0.4456326912690299, 0.2280220111839492, 0.0
0.9381448006551999, 0.1390369462839949, 0.0, 0.9181482198678098, 0.1386671398287354, 0.0, 0.9284091265862946, 0.1215663534807229, 0.0
