"f:0","f:1",":0",":1",":2"
0.0,-5.0281817147885346e-27,1.0,0.3,0
3.232535258429486e-23,-7.052100760381183e-22,0.954268585863942,0.2825453845944093,0
2.085506618341604e-24,3.0193223062627376e-11,1.0,0.2499999999998516,0
3.7569147316967744e-08,-8.195619809870476e-07,0.9576951807472893,0.2249579225438433,0
-8.635608936683825e-25,-1.6364021274599794e-06,1.0,0.199999999999714,0
-4.5447002322379284e-24,-2.156072132143676e-22,0.9166666662456743,0.2499999996032265,0
-1.5556530075746637e-08,-2.4709077134973196e-06,0.9592997585752877,0.1704948860277815,0
-2.729001369655645e-08,-1.2946780867874897e-06,0.9159360737988322,0.1967072650380774,0
2.401561950560233e-23,6.83859774587286e-22,0.8790647471592651,0.2174546151836989,0
1.6562353136366852e-24,-3.050572205674291e-06,1.0,0.1499999999997204,0
-5.117254924261139e-09,-2.9313065285547466e-06,0.910059655119917,0.1410881557825486,0
-5.407836752825113e-08,-1.5399153130024867e-06,0.8728156011377403,0.1713734823920551,0
-9.608258175698342e-23,2.8951122522442626e-22,0.8333333339983802,0.2,0
2.9836082965328136e-08,-3.88167919369308e-06,0.9544592882063154,0.1234138475005987,0
0.0,-4.6136179883654945e-06,1.0,0.09999999999986023,0
1.2605046225479638e-07,-4.34256239169848e-06,0.9058358391441277,0.09536359066223007,0
1.675087930806281e-07,-5.8142485335749185e-06,0.9528182936011194,0.07470461604985468,0
0.0,-6.986831632502034e-06,1.0,0.05,0
3.807363716203308e-08,-3.181153961292253e-06,0.8633589711739011,0.1210265515315312,0
4.2036136659953224e-08,-2.0664889263238193e-06,0.8235755033251437,0.1505313701783816,0
9.21303843507163e-08,-1.570821157703332e-06,0.7845259269189709,0.1742922359828752,0
-7.471708699430035e-23,1.3564091828304296e-21,0.7876019181822315,0.2174546161318428,0
1.295961855631662e-07,-5.687028636297003e-06,0.9071599453801024,0.04869949460895831,0
5.818278221700804e-08,-4.700956182564654e-06,0.8587393492936539,0.06757536779501272,0
1.5295365559538602e-08,-3.6550387509357384e-06,0.8176353956698725,0.1029975019195134,0
2.9854639766017686e-08,-3.04454435230655e-06,0.7790236698485606,0.1307017360013552,0
4.128567712546058e-08,-2.901743178986403e-06,0.7406676251201172,0.1484588170990129,0
7.725593017310043e-08,-1.3879694778351508e-06,0.7439016513349499,0.1997252858278771,0
6.2497194461238684e-24,-1.3912585235196326e-22,0.750000000429317,0.2499999995953809,0
1.8884987683702708e-07,-7.002773122427595e-06,0.9542798838387726,0.03255346740044907,0
7.082397107312167e-08,-5.961727406999113e-06,0.8722344674730769,0.02045868000103788,0
