"f",":0",":1",":2"
-1.0,1.0,0.019989302269446705,0
-1.0,0.9801734089376537,0.018608721791105242,0
-1.0,0.9854965208449324,0.03333057193406117,0
-1.0000000000000002,1.0,0.03922105552848013,0
-1.0,0.9684682782247693,0.03632373007886141,0
-1.0,0.9833457395584918,0.04883689721446983,0
-1.0,1.0,0.0584527389004607,0
-1.0,0.9606735537125536,0.014741040347298753,0
-1.0,0.9468132833287569,0.03056831260837445,0
-1.0,0.9535706455093049,0.05146220360763775,0
-1.0,0.9701510158373882,0.05568536164857381,0
-1.0,0.9832128810409249,0.06667009505461018,0
-1.0,1.0,0.07768439881324668,0
-1.0,0.9416188802445522,0.009052513966238122,0
-1.0,0.9339412005649586,0.04689430528166001,0
-1.0,0.9421708481619805,0.06886724986226576,0
-1.0000000000000002,0.9640498689914564,0.07306797836406581,0
-1.0,0.982676828764399,0.08526025006505689,0
-1.0,1.0,0.09691604145756154,0
-1.0,0.9244161095869017,0.02687112284777254,0
-1.0,0.9228990025312998,0.002332629635593935,0
-0.9999999999999998,0.9223278890022791,0.06749914230288617,0
-0.9999999999999998,0.913474604040507,0.05053529571749074,0
-1.0,0.9034873655484883,0.032996431233126476,0
-1.0000000000000002,0.9075453325930256,0.014976672607334037,0
-1.0,0.9042715384393619,-0.004642179580145668,0
-1.0,0.931018683631813,0.0864841097810512,0
-1.0,0.9503532825938463,0.0881752342099166,0
-1.0,0.9672197376929057,0.09107100922538926,0
-1.0,0.9799756925830914,0.10633538078755614,0
-1.0,1.0,0.11614766868969965,0
-1.0,0.9022949862189535,0.0671197456164771,0
-1.0,0.9110670417959518,0.08509415381418306,0
-1.0,0.9198391081267138,0.10306855716988302,0
-0.9999999999999998,0.9397907503590034,0.10445851001498972,0
-1.0000000000000002,0.9597423925394052,0.10584846792797542,0
-1.0,0.9661342468272477,0.12221819721191414,0
-1.0,0.9840566516243753,0.1268860572836215,0
-1.0,1.0,0.13537928150537828,0
-1.0,0.8935092707550687,0.04934154657561635,0
-1.0000000000000002,0.8844838781215363,0.033332464168728475,0
-1.0,0.8941396059524895,0.021168285429050512,0
-1.0,0.8898223392483315,0.006997243628699,0
-1.0000000000000002,0.8854634293507408,-0.011108618013343194,0
-1.0,0.8911153880995689,0.08370421546468736,0
-1.0,0.8823433250755447,0.06572978128087129,0
-1.0000000000000002,0.8735689777960722,0.04778807380780055,0
-1.0,0.8646673462347626,0.031394768612075706,0
-1.0,0.8763269007784082,0.017921156135064512,0
-1.0,0.8712237311682329,0.0013644424569382754,0
-1.0,0.86626380792705,-0.01628110319675272,0
-1.0,0.8998874654465475,0.10167860397978125,0
-1.0,0.9086595285234195,0.11965306143944136,0
-0.9999999999999998,0.9286111842132736,0.12104295427776081,0
-1.0,0.9481661260053609,0.12216545619364266,0
-1.0,0.9560249105801881,0.13870934688081343,0
-1.0,0.9715049959119156,0.1365079241818248,0
-1.0,0.9843800995558487,0.14549437582569552,0
-1.0,1.0,0.15461088092697034,0
-1.0,0.8711636359847782,0.08231543702030084,0
-0.9999999999999998,0.8623912739699129,0.06434525548190467,0
-1.0000000000000002,0.8536191133626838,0.0463717560394561,0
-1.0,0.8447839787738,0.02930194438948259,0
-1.0,0.854661487023547,0.012616207661343744,0
-0.9999999999999998,0.8550131782407328,-0.004820626823769788,0
-1.0,0.8466298395795675,-0.019387108262450693,0
-1.0,0.879935781020368,0.10028880449473318,0
-1.0,0.8887078525164833,0.11826326020258136,0
-1.0,0.8974799572209822,0.13623758205657396,0
-1.0000000000000002,0.9174316143033399,0.13762744129354754,0
-1.0,0.9370988151596115,0.13868978204771903,0
-1.0,0.9461553658938087,0.1569917018679925,0
-1.0,0.9667961137353113,0.1558191120940455,0
-1.0,0.9839134809948498,0.1642266724421054,0
-1.0,1.0,0.17384246395724734,0
-1.0,0.8512118826438166,0.08092589185322951,0
-1.0,0.8599840065677022,0.09889946359547476,0
-1.0000000000000002,0.8687560699478165,0.11687387323656422,0
-1.0,0.8775282525424558,0.13484793580771542,0
-1.0,0.886300411081524,0.15282206021007924,0
-1.0,0.906252058060414,0.1542119176549399,0
-1.0,0.9262037092788133,0.15560179702821084,0
-1.0,0.9349758086957447,0.17357614859120427,0
-1.0,0.9544992810964562,0.1744562296343819,0
-1.0,0.970809755397124,0.1736125684345076,0
-1.0,0.9836280757495199,0.18339763725019453,0
-1.0,1.0,0.19307402731569182,0
-1.0,0.8424398355796902,0.06295179118808053,0
-0.9999999999999998,0.8336677493288945,0.0449768007230096,0
-1.0,0.8248358116217014,0.02801285188886506,0
-1.0,0.8353667564509826,0.015388437974242128,0
-1.0,0.8362870235103991,-0.002415563550458799,0
-1.0,0.8267610685192948,-0.01985872460302782,0
-1.0,0.8400318590818218,0.0975111509239503,0
-1.0,0.8312598067597305,0.07953643061993479,0
-1.0,0.8224882470045518,0.06156038964062338,0
-1.0,0.8137161082989708,0.043585740612174156,0
-1.0,0.8049195493955656,0.026874584688024936,0
-1.0,0.8162654802835689,0.009426750842331086,0
-1.0,0.8182761872893615,-0.006582097950807733,0
-1.0,0.80701339122625,-0.017600707759842512,0
-1.0,0.8488038429570305,0.11548614404370659,0
-1.0,0.8575763422541106,0.13345914399432765,0
-1.0000000000000002,0.8663575645900615,0.15130495672516836,0
-1.0,0.8751208873038664,0.16940651607500365,0
-1.0,0.895072513956191,0.17079640511709981,0
-1.0,0.9150241550519327,0.1721862751571036,0
-0.9999999999999998,0.923796259171021,0.19016061949629826,0
-1.0000000000000002,0.9437479193175767,0.1915504733443891,0
-1.0,0.965199829112518,0.1926248700225856,0
-1.0,0.983580101181738,0.2026048291497324,0
-1.0,1.0,0.2123055702396982,0
-1.0000000000000002,0.8200789145866304,0.09612463713677007,0
-0.9999999999999998,0.8113066383035047,0.07814994384243766,0
-1.0,0.8025365873097823,0.06016997378278611,0
-1.0,0.793751149179435,0.042385875413675306,0
-1.0,0.7833038915587159,0.024601314164579103,0
-1.0,0.797022757711273,0.013540345519905551,0
-1.0,0.8014713832179263,-0.001253230442042033,0
-1.0,0.7876598256751639,-0.013046630002515438,0
-1.0,0.8288497618536762,0.11410487845643869,0
-1.0,0.8376236119640945,0.13207388847877047,0
-1.0,0.8464502338339859,0.1492774908652695,0
-1.0,0.855089634986117,0.16608475458382432,0
-1.0000000000000002,0.8617163438832363,0.1854476517977074,0
-1.0,0.8840090203829293,0.18691308691444106,0
-1.0000000000000002,0.9039773067851608,0.18868557045348183,0
-1.0,0.9127785342666851,0.20695469029821936,0
-1.0,0.9326078402625476,0.20756842933677844,0
-1.0,0.950632903537893,0.20985200028481193,0
-1.0,0.9675632940521101,0.215445748031278,0
-1.0,0.9833456403979058,0.22192132743768275,0
-1.0,1.0,0.23153708463568454,0
-1.0000000000000002,0.8001166121220352,0.09476210191397708,0
-0.9999999999999998,0.7913538236661255,0.07677229569989255,0
-1.0,0.7825826989281803,0.058811582373166145,0
-1.0,0.7737347046421056,0.041925229501929506,0
-1.0,0.764667499299331,0.028185435404645028,0
-1.0,0.7664408904002827,0.012554764703976866,0
-1.0000000000000002,0.7834951810690463,0.006398421340923591,0
-1.0,0.7687365711865795,-0.006929374772443699,0
-1.0,0.8088876392923983,0.1127476092409243,0
-1.0,0.8176677971504823,0.1307034896887533,0
-1.0,0.826657940583042,0.14734054695536034,0
-1.0,0.8362579583380247,0.16292685705181578,0
-1.0,0.8452643892874188,0.1780846063514294,0
-1.0,0.8426286620131724,0.19354688783764962,0
-1.0,0.8568402183684396,0.1997983037008582,0
-1.0,0.8728913813640122,0.2014113989079008,0
-1.0,0.893019507080063,0.20505189626162212,0
-1.0,0.9018502981671611,0.2254065587951618,0
-1.0,0.9237137142921119,0.22347806282841703,0
-1.0,0.9391912693278525,0.22247562212117358,0
-1.0,0.9529883008454255,0.22991814935077512,0
-1.0,0.9697635652933827,0.23363454313956566,0
-1.0,0.985393861546971,0.24079114467947052,0
-1.0,1.0,0.2507685718955774,0
-1.0,0.7888877401100564,0.11146913201480539,0
-1.0,0.7801516546730296,0.09339844650192959,0
-1.0,0.7714028190750022,0.07540151062661452,0
-1.0,0.7626198651493741,0.0575817274797147,0
-1.0,0.7538610195625627,0.0394153624616998,0
-0.9999999999999998,0.7467560839604839,0.022351547301625332,0
-1.0,0.7500773672024086,-4.075323401903027e-05,0
-1.0000000000000002,0.7977015170737424,0.1293983545009839,0
-1.0,0.8069912788024035,0.14721957713652348,0
-1.0,0.8179486383497708,0.16314940670654055,0
-1.0,0.8301944453624829,0.17782747201356194,0
-1.0000000000000002,0.8233954159155196,0.1957582293100977,0
-1.0,0.8385229129385369,0.21143639633759997,0
-1.0,0.8593264598799905,0.21594664755469017,0
-1.0000000000000002,0.87981620513804,0.2200799579284377,0
-1.0,0.8854261880583083,0.2388915800012268,0
-1.0,0.9042408170745975,0.2453582790191335,0
-1.0,0.9174847318743078,0.2382094083223974,0
-1.0,0.9361441568409022,0.23944267709787093,0
-1.0,0.9553866120993425,0.24645404170860588,0
-1.0,0.9725808593218959,0.2509813165309525,0
-1.0,0.9869217568126338,0.2559894389760474,0
-1.0,1.0,0.27,0
-1.0,0.768922997537688,0.11003700011318725,0
-0.9999999999999998,0.7602050379967572,0.09198958236096731,0
-1.0000000000000002,0.751451096425901,0.07401240669370743,0
-1.0,0.7432422355972709,0.05641790284704179,0
-1.0,0.7384455779695308,0.040222559930720214,0
